"view_name";"column_order";"column_name";"data_type";"is_nullable"
"vw_objetivo_compra";"20";"periodo_acoes_status";"varchar";"YES"
"vw_objetivo_compra";"21";"objetivo_compra_id";"bigint";"NO"
"vw_objetivo_compra";"22";"linha_ordem";"int";"YES"
"vw_objetivo_compra";"23";"produto";"varchar";"YES"
"vw_objetivo_compra";"24";"embalagem";"varchar";"YES"
"vw_objetivo_compra";"25";"objetivo_trimestral";"varchar";"YES"
"vw_objetivo_compra";"26";"objetivo_trimestral_numerico";"decimal";"YES"
"vw_objetivo_compra";"27";"row_excel";"int";"YES"
"vw_objetivo_compra";"28";"linha_original";"text";"YES"
"vw_premissas_gerais";"1";"formulario_id";"bigint";"NO"
"vw_premissas_gerais";"2";"importacao_id";"bigint";"NO"
"vw_premissas_gerais";"3";"arquivo_nome";"varchar";"NO"
"vw_premissas_gerais";"4";"processado_em";"datetime";"NO"
"vw_premissas_gerais";"5";"total_abas";"int";"YES"
"vw_premissas_gerais";"6";"aba_origem";"varchar";"NO"
"vw_premissas_gerais";"7";"formulario_index";"int";"NO"
"vw_premissas_gerais";"8";"cliente";"varchar";"YES"
"vw_premissas_gerais";"9";"titulo_plano";"varchar";"YES"
"vw_premissas_gerais";"10";"numero_acordo";"varchar";"YES"
"vw_premissas_gerais";"11";"periodo_original";"varchar";"YES"
"vw_premissas_gerais";"12";"periodo_inicio";"varchar";"YES"
"vw_premissas_gerais";"13";"periodo_fim";"varchar";"YES"
"vw_premissas_gerais";"14";"periodo_normalizado";"varchar";"YES"
"vw_premissas_gerais";"15";"periodo_status";"varchar";"YES"
"vw_premissas_gerais";"16";"periodo_acoes_original";"varchar";"YES"
"vw_premissas_gerais";"17";"periodo_acoes_inicio";"varchar";"YES"
"vw_premissas_gerais";"18";"periodo_acoes_fim";"varchar";"YES"
"vw_premissas_gerais";"19";"periodo_acoes_normalizado";"varchar";"YES"
"vw_premissas_gerais";"20";"periodo_acoes_status";"varchar";"YES"
"vw_premissas_gerais";"21";"premissa_id";"bigint";"NO"
"vw_premissas_gerais";"22";"linha_ordem";"int";"YES"
"vw_premissas_gerais";"23";"descricao";"text";"YES"
