"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"descricao_investimento_id";"linha_ordem";"tipo_registro";"descricao";"valor_original";"valor_numerico";"unidade";"observacao";"lado_layout";"row_excel";"linha_original"
"11";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MUNDIALMIX";"1";"MUNDIALMIX - BRASIL/IMPERATRIZ";"JBP";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"31";"7";"descricao_investimento";"INVESTIMENTO ADICIONAL REF CATEGORIAS (OBJETIVO RODAPÉ)";"0,5% SOBRE COMPRA POR TRIMESTRE (EM MÉDIA R$ 4.000,00 MÊS | R$ 48.000 ANO SE ATINGIR OBJETIVO)";"NULL";"BRL";"NULL";"NULL";"50";"INVESTIMENTO ADICIONAL REF CATEGORIAS (OBJETIVO RODAPÉ) | 0,5% SOBRE COMPRA POR TRIMESTRE (EM MÉDIA R$ 4.000,00 MÊS | R$ 48.000 ANO SE ATINGIR OBJETIVO)"
"11";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MUNDIALMIX";"1";"MUNDIALMIX - BRASIL/IMPERATRIZ";"JBP";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"32";"8";"descricao_investimento";"INVESTIMENTO ABASTECIMENTO";"R$ 22.070,00(MENSAL) | R$ 264.840,00 (TOTAL ANO)";"NULL";"BRL";"NULL";"NULL";"53";"INVESTIMENTO ABASTECIMENTO | R$ 22.070,00(MENSAL) | R$ 264.840,00 (TOTAL ANO)"
"12";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"UNIDASUL";"1";"UNIDASUL";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO À DEZEMBRO";"NULL";"NULL";"SETEMBRO À DEZEMBRO";"nao_interpretado";"NULL";"NULL";"NULL";"NULL";"NULL";"33";"2";"descricao_investimento";"VALO DE INVESTIMENTO TOTAL";"R$ 40.000,00 (PAGOS EM 4 PARCELAS R$ 10.000)";"NULL";"BRL";"NULL";"NULL";"43";"VALO DE INVESTIMENTO TOTAL | R$ 40.000,00 (PAGOS EM 4 PARCELAS R$ 10.000)"
"12";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"UNIDASUL";"1";"UNIDASUL";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO À DEZEMBRO";"NULL";"NULL";"SETEMBRO À DEZEMBRO";"nao_interpretado";"NULL";"NULL";"NULL";"NULL";"NULL";"34";"3";"descricao_investimento";"FORMA DE PAGAMENTO: DEPÓSITO EM CONTA (INFORMAR CONTA)";"DEPÓSITO EM CONTA";"NULL";"NULL";"NULL";"NULL";"46";"FORMA DE PAGAMENTO: DEPÓSITO EM CONTA (INFORMAR CONTA) | DEPÓSITO EM CONTA"
"13";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"SDB COM";"1";"SDB COM. - FORT ATACADISTA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À MARÇO/26";"2026-01";"2026-03";"2026-01 a 2026-03";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"35";"2";"descricao_investimento";"PERCENTUAL DE INVESTIMENTO MENSAL TOTAL:";"5%";"5.0000";"%";"NULL";"NULL";"44";"PERCENTUAL DE INVESTIMENTO MENSAL TOTAL: | 5%"
"13";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"SDB COM";"1";"SDB COM. - FORT ATACADISTA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À MARÇO/26";"2026-01";"2026-03";"2026-01 a 2026-03";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"36";"3";"descricao_investimento";"PERCENTUAL DE INVESTIMENTO: OBJETIVO LAVA ROUPAS E DESINFETANTE";"3%";"3.0000";"%";"NULL";"NULL";"47";"PERCENTUAL DE INVESTIMENTO: OBJETIVO LAVA ROUPAS E DESINFETANTE | 3%"
"13";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"SDB COM";"1";"SDB COM. - FORT ATACADISTA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À MARÇO/26";"2026-01";"2026-03";"2026-01 a 2026-03";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"37";"4";"descricao_investimento";"PERCENTUAL DE INVESTIMENTO: VOLUME GLOBAL";"1%";"1.0000";"%";"NULL";"NULL";"50";"PERCENTUAL DE INVESTIMENTO: VOLUME GLOBAL | 1%"
"13";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"SDB COM";"1";"SDB COM. - FORT ATACADISTA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À MARÇO/26";"2026-01";"2026-03";"2026-01 a 2026-03";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"38";"5";"descricao_investimento";"PERCENTUAL DE INVESTIMENTO CALENDÁRIO AÇÕES (FOTOS)";"1%";"1.0000";"%";"NULL";"NULL";"53";"PERCENTUAL DE INVESTIMENTO CALENDÁRIO AÇÕES (FOTOS) | 1%"
"14";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"CENTERMASTERSUL";"1";"CENTERMASTERSUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"39";"2";"descricao_investimento";"VALOR TOTAL DE INVESTIMENTO: VOLUME GLOBAL E AÇÕES";"R$ 5.400,00 (R$ 450 POR MÊS)";"NULL";"BRL";"NULL";"NULL";"38";"VALOR TOTAL DE INVESTIMENTO: VOLUME GLOBAL E AÇÕES | R$ 5.400,00 (R$ 450 POR MÊS)"
"14";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"CENTERMASTERSUL";"1";"CENTERMASTERSUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"40";"3";"descricao_investimento";"PERCENTUAL DE INVESTIMENTO: OBJETIVO LAVA ROUPAS E AMAC. CONCENTRADO";"1%";"1.0000";"%";"NULL";"NULL";"41";"PERCENTUAL DE INVESTIMENTO: OBJETIVO LAVA ROUPAS E AMAC. CONCENTRADO | 1%"
