"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"cadastro_vinculado_id";"bloco_origem";"linha_ordem";"secao_interna";"categoria_secao";"produto";"litragem";"versao";"abrangencia";"row_excel";"linha_original"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"33";"cadastros_vinculados";"1";"LIBERAÇÃO (PARA TODAS AS LOJAS)";"liberacao";"Lava Roupas";"3L";"Flores Brancas";"5 de 37 lojas";"71";"Lava Roupas | 3L | Flores Brancas | 5 de 37 lojas"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"34";"cadastros_vinculados";"2";"LIBERAÇÃO (PARA TODAS AS LOJAS)";"liberacao";"Lava Roupas";"5L";"Multiação";"19 de 36 lojas";"72";"Lava Roupas | 5L | Multiação | 19 de 36 lojas"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"35";"cadastros_vinculados";"3";"LIBERAÇÃO (PARA TODAS AS LOJAS)";"liberacao";"Lava Roupas";"5L";"Ternura | Glicerina";"5 de 36 lojas";"73";"Lava Roupas | 5L | Ternura | Glicerina | 5 de 36 lojas"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"36";"cadastros_vinculados";"4";"LIBERAÇÃO (PARA TODAS AS LOJAS)";"liberacao";"Amaciante";"5L";"Frescor da Manhã";"34 de 40 lojas";"74";"Amaciante | 5L | Frescor da Manhã | 34 de 40 lojas"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"37";"cadastros_vinculados";"5";"LIBERAÇÃO (PARA TODAS AS LOJAS)";"liberacao";"Amaciante";"5L";"Sedução";"32 de 40 lojas";"75";"Amaciante | 5L | Sedução | 32 de 40 lojas"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"38";"cadastros_vinculados";"6";"LIBERAÇÃO (PARA TODAS AS LOJAS)";"liberacao";"Amaciante Concentrado";"1L";"Harmonia | Ternura";"29 de 36 lojas";"76";"Amaciante Concentrado | 1L | Harmonia | Ternura | 29 de 36 lojas"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"39";"cadastros_vinculados";"7";"LIBERAÇÃO (PARA TODAS AS LOJAS)";"liberacao";"Amaciante Concentrado";"1,5L";"PROMO: Ternura | Harmonia";"12 de 36 lojas";"77";"Amaciante Concentrado | 1,5L | PROMO: Ternura | Harmonia | 12 de 36 lojas"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"40";"cadastros_vinculados";"8";"LIBERAÇÃO (PARA TODAS AS LOJAS)";"liberacao";"Amaciante Concentrado";"1,5L";"Ternura | Harmonia | Sedução";"5 de 36 lojas";"78";"Amaciante Concentrado | 1,5L | Ternura | Harmonia | Sedução | 5 de 36 lojas"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"41";"cadastros_vinculados";"9";"Liberação Scanntech.";"liberacao_scanntech";"NULL";"NULL";"NULL";"____________________________________________";"103";"____________________________________________ | ____________________________________________"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"42";"cadastros_vinculados";"10";"Liberação Scanntech.";"liberacao_scanntech";"NULL";"NULL";"NULL";"AQUAFAST - Produtos de Higiene e Limpeza";"104";"Libraga , Brandao Supermercados | AQUAFAST - Produtos de Higiene e Limpeza"
